
database = xoghayye/hoyga-xogta
bas e= hayye
data = xog
typecast = guurash
shortcut = gaabis
synonym = lamide
opposite = kalide/lid
value = qiime

//other sourcess//


aabbe	father
keliya	only
ken	bring
khaanad	shelf
khalad	wrong
khalad	mistake
khaldan	wrong
Khamiis	Thursday
kibriid	match
kilmad	word
kiro	rent
kitaab	book
kobtan	here
koob	cup, glass
kood	coat
koodh	coat
koofiyad	hat
koofuur (jiho)	south
koor	jacket
koow	one
kor	above, high, up
korin	grow
ku dhawaad	almost
ku filan	enough
ku naban	beside
ku sigtay	almost
kubeerto	blanket
kulayl	hot
kulmid	meet
kulul	hot
kursi	chair
kursiga dheer ee fadhiga	sofa
kurta	head
kuul	necklace
la' aan	without
la beeray	grow
la bilabo	begin
la dhaho	say
la dhigo	put
la istaajiyo	stop
la joojiyo	stop
la koriyey	grow
la mid	similar
la sameeyo	make
la siiyo	give
la siyaarto	visit
la so salaamo	visit
la weydiiyo	ask
la yiradho	say
laba goor	twice
laba jeer	twice
labo	two
lacag	money, penny
laga jawaabo	answer
lagama marmaan	important
lagu sawiro	xerox
lahaan	owner
lakiin	but
lawga	knee
leedahay	have
leenahay	have
leeyahay	have
leh	have
liimo qarar	grapefruit
liimo ugunji	grapefruit
limo macaan	orange
loo diro ama la diro	send
lug	leg
lugeen	walk
lumid	lose
lumisid	lose
luqun	neck
ma aha	not
maalin	day
maalqabeen	rich
maanta	today
maantay	today
mac	sweet
maca	with
macaan	sweet
macalgada-weyn (tan cuntada)	tablespoon
macalgada-yar (tan shahiga)	teaspoon
macalgo	spoon
macalin	teacher
madaxa	head
madax-xanuun	headache
madbakh	kitchen
madhan	empty
madoonaayo	no
madow	black
magaalo weyn	city
magac	name
mahadsanid	thank you
maktabad	library
malaay	fish
malab	honey
maqaar	leather
maqaasin	store
maqal	shelf, listen, hear
maqas	scissors
maqsinka hurdada	bedroom
mar	sometimes
mar kale	again
mar naba	never
maraq	soup
marka qaarkood	sometimes
markasto	always
markiiba	already
mar-mar	sometimes
marti	guest
marti qaadid	invite
mashiin	machine
mashquul	busy
mator	machine
maxaa wacay	because
maxaa yeelay	because
maya	no
mayrid	wash
meel kore	high
meel sare	high
meeshan	here
mesha baburka la dhigto	park
mesha la ga helo	address
meyrasho	bath
midab	color
midig	right
miftaax	key
miis	table
milix	salt
mindi	knife
mirir	minute
mise	or
miskiin	poor
moos	banana
mucaawino	help
mugdi	dark
muhiim	important
mukulaal	cat
muraayad	mirror, glass
murayadaha indhaha	glasses
murugo	sad
musqul	bathroom, toilet
musqusha la gu qubeysto xamamka	bathroom
muus	banana
muusik	music
naag	woman
nabadeey	good-bye
nabad-geylo	good-bye
nacas	stupid
nacbeysi	hate
naceeyb	hate
nadiif	clean
nadiifin	clean
naf leh	live
nafleeyda iyo dhirta	live
nafleydo	adult
nasasho	rest
nasiib	lucky
nicid	hate
nin	man
ninka naagta qaba	husband
ninka xaaska leh	husband
nolan	live
nolol	life
nool	live
oo qudha	only
oo qura	only
oon	thirsty
ooyid	cry
ooyin	cry
orad	run
orah	say
ordid	run
qaac	smoke
qaadasho	take
qaadid	take, carry
qaali ah	expensive
qabo	catch
qabow	cold
qado	lunch, dinner
qalal	dry
qalalan	dry
qalin	pencil
qalinka khadka leh	pen
qandho	fever
qaraar	sour
qareen	lawyer
qawi	strong
qaxwo	coffee
qiime	price
qiime sare ah	expensive
qiiq	smoke
qime	cost
qobka fadhiga	living room
qof	person
qofka yar	child
qolka hurdada	bedroom
qoor	neck
qor	write
qorax	sun
qorid	write
qoslid	laugh
qosol	laugh
qoyaan	wet
qoyan	wet
qoys	family
qubeys	bath
qudaar	vegetable
quraac	breakfast
qurux-badan	beautiful
quruxsan	beautiful
qurxoon	beautiful
raacid	follow
raadiyo	radio
raashin	food
raaxo leh	comfortable
rabid	want
rajabeeto	brooch
rakhiis ah	cheap
raqabad	neck
raqiis	cheap
riixid	push
riyo	dream
roob	rain
rooti	bread
rumay	toothbrush
run	true
saabaanka guriga	furniture
saabuun	soap
saacad (waqti)	hour
sabool	poor
sac	cow
safar	travel
sagxadda guriga	floor
sahlan	easy
salaan	stairs
samayn	make
san	nose
sanad	year
sanduuq	box
sanjibiil	ginger
sanka	nose
sano	year
saqafka	roof
saqafka jiingadda ka hooseeya	ceiling
saqdadhexe	midnight
sariir	bed
sarreya	high
sar-weyn	building
sawir gacan ah	picture
sax	right
saxan	plate
saxan	dish
saxiib	friend
sax-maaha	mistake
se	but
Sebti	Saturday
sedex goor	three times
sedex jeer	three times
setimaan	week
shaahi	tea
shaatiga naagaha	blouse
shabad	letter
shalay	yesterday
shan farood iyo calacal	hand
shandad	box, bag
shanlo	comb
shaqar la aan	quiet
shaqo	work
sharaab	drink
shiinyeeri	zipper
shilis	fat
shimbir	bird
shimbir baded	goose
shimbir la rabeysto	goose
shubaako	window
shukulaato	chocolate
shukumaan	towel
shurbad	soup
shuuli	bracelet
sibidh	floor
sicir	price
sid	carry
sida badan	often
sidookale	too
sigaar cabid	smoke
sii	give
siin	pay
sixni	plate
sixni	dish
siyaaro	visit
socod	walk
socodsiin	move
sonkor	sugar
soo jiid	pull
stambo	stamp
subag	butter
subax	morning
sufriyo	saucepan
sug	wait
sugid	wait
suubiin	make
suulka gacanta	thumb
suulka luugta	toe
suun	belt
taano	penny
tabar-daran	weak
tag	go
tajir	rich
takhtar	doctor
takhtarka-ilkaha	dentist
Talaado	Tuesday
talaajo	refrigerator
taraq	match
tay	tie
tegid	go
telefisyoon	television
telefoon	phone, telephone
timo	hair
tin	hair
tinaar	oven
tiro ahan	less
tomato	tomato
toos	wake up
tufaax	apple
tus	show
tusid	show
tuubaako	tobacco
tuug	thief
tuwaal	towel
u dhexeeyo	between
u dirid	send
ubax	flower
ukun	egg
uu eg	similar
wacan	perfect
waddan	country
wadid	drive
wadnaha nafleyda	heart
wadne	heart
wado	street
wakhti dambe	late
wakhti hore	early
walaal	brother
walaasha	sister
walalka	brother
wanaagsan	good
waqadda lacagta	cheque
waqooyi (jiho)	north
waqti	time
waqtiga	time
wargeeys	newspaper
warqad	paper
warqad laysu diro	letter
wasakhsan	dirty
wax la barto	learn
wax yar	small
waxba	nothing
waxba ku jirin	empty
webi	river
weji	face
weligaa	never
weligeed	never
weliiba	also
weydiin	ask
weydiis	ask
weyn	big, large
wiil	boy
wiilkage	son
xaaga	fall
xaas	family, wife
xafidid	keep
xafiis	office
xafiiska postada	post office
xagaa	summer
xagga dambe	back (body)
xagga hoose	down
xagga sare	above
xajin	keep
xanuun	pain
xaraar	sour
xaraf	letter
xarama weyn	bag
xariif	clever
xataa	too
xayawaan	animal
xeedho	dish
xeero	dish
xidhan	close
xidig	star
xiran	close
xummad	fever
xun	bad
xusul	elbow
yaayo	tomato
yar	small, less, young
ziib	zipper

